Days,ExerciseType,PreWorkoutHR,PostWorkoutHR,Duration,Intensity
1,Running,70,128,19,3
2,Pushups,72,124,24,6
3,Rest,84,84,0,0
4,Squats,71,141,12,5
5,Pushups,76,126,22,4
6,Rest,85,85,0,0
7,Running,78,135,12,6
8,Rest,81,81,0,0
9,Running,75,137,15,3
10,Rest,80,80,0,0
11,Pushups,83,138,21,4
12,Squats,70,141,24,5
13,Running,82,123,19,6
14,Running,85,132,22,4
15,Rest,81,81,0,0
16,Rest,74,74,0,0
17,Pushups,82,121,24,3
18,Squats,71,136,16,6
19,Cycling,77,140,25,5
20,Cycling,84,135,20,6
21,Running,74,149,19,3
