Days,ExerciseType,PreWorkoutHR,PostWorkoutHR,Duration,Intensity
1,Rest,84,84,0,0
2,Running,84,148,18,5
3,Running,71,129,25,5
4,Running,70,128,19,3
5,Pushups,72,124,24,6
6,Pushups,84,120,12,4
7,Squats,71,141,12,5
8,Pushups,76,126,22,4
9,Rest,85,85,0,0
10,Running,78,135,12,6
11,Cycling,81,121,24,5
12,Running,75,137,15,3
13,Squats,80,124,22,5
14,Pushups,83,138,21,4
15,Squats,70,141,24,5
16,Rest,82,82,0,0
17,Running,85,132,22,4
18,Cycling,81,141,15,6
19,Cycling,74,132,14,5
20,Pushups,82,121,24,3
21,Squats,71,136,16,6
