Days,ExerciseType,PreWorkoutHR,PostWorkoutHR,Duration,Intensity
1,Rest,65,65,0,0
2,Squats,73,156,34,5
3,Running,67,137,25,7
4,Cycling,73,150,21,8
5,Rest,69,69,0,0
6,Cycling,74,160,33,7
7,Squats,73,138,24,8
8,Running,71,147,35,7
9,Rest,66,66,0,0
10,Running,65,159,25,6
11,Running,66,135,36,7
12,Running,65,130,24,7
13,Rest,66,66,0,0
14,Squats,67,147,31,8
15,Squats,72,151,39,6
16,Cycling,71,150,25,8
17,Rest,65,65,0,0
18,Pushups,65,165,35,5
19,Squats,75,150,36,5
20,Cycling,71,143,39,7
21,Rest,67,67,0,0
